DATE,PASSENGERS
2020-06-01,690356.0
2020-07-01,876828.0
2020-08-01,821607.0
2020-09-01,803533.0
2020-10-01,886303.0
2020-11-01,796165.0
2020-12-01,847321.0
2021-01-01,718621.0
2021-02-01,697026.0
2021-03-01,1188763.0
2021-04-01,1422729.0
2021-05-01,1665965.0
2021-06-01,1700271.0
2021-07-01,1891209.0
2021-08-01,1795122.0
2021-09-01,1589012.0
2021-10-01,1740229.0
2021-11-01,1705344.0
2021-12-01,1591441.0
2022-01-01,1156855.0
2022-02-01,1301515.0
2022-03-01,1688965.0
2022-04-01,1770776.0
2022-05-01,1886871.0
2022-06-01,1870503.0
2022-07-01,2033690.0
2022-08-01,2041273.0
2022-09-01,1861013.0
2022-10-01,2035688.0
2022-11-01,1850739.0
2022-12-01,1670181.0
2023-01-01,1641352.0
2023-02-01,1559656.0
2023-03-01,1903323.0
2023-04-01,2049266.0
2023-05-01,2177005.0
2023-06-01,2167977.0
2023-07-01,2254782.0
2023-08-01,2210563.0
2023-09-01,2026027.0
2023-10-01,2265465.0
2023-11-01,2107899.0
2023-12-01,1992974.0
2024-01-01,1648652.0
2024-02-01,1623637.0
2024-03-01,2110538.0
2024-04-01,2133003.0
2024-05-01,2365980.0
2024-06-01,2414469.0
2024-07-01,2466703.0
2024-08-01,2322098.0
2024-09-01,2025741.0
2024-10-01,2144607.0
2024-11-01,1955959.0
2024-12-01,2005659.0
